gamePk,gameDate,officialDate,sportId,gameType,codedGameState,detailedState,awayteamid,awayteamname,awayteamscore,hometeamid,hometeamname,hometeamscore,venueid,venuename,scheduledInnings
777230,2025-07-05T18:10:00Z,2025-07-05,1,R,F,Final,139,Tampa Bay Rays,5,142,Minnesota Twins,6,3312,Target Field,9
777229,2025-07-05T18:20:00Z,2025-07-05,1,R,F,Final,138,St. Louis Cardinals,8,112,Chicago Cubs,6,17,Wrigley Field,9
777231,2025-07-05T19:07:00Z,2025-07-05,1,R,F,Final,108,Los Angeles Angels,3,141,Toronto Blue Jays,4,14,Rogers Centre,9
777228,2025-07-05T20:05:00Z,2025-07-05,1,R,F,Final,111,Boston Red Sox,10,120,Washington Nationals,3,3309,Nationals Park,9
777233,2025-07-05T20:05:00Z,2025-07-05,1,R,F,Final,113,Cincinnati Reds,1,143,Philadelphia Phillies,5,2681,Citizens Bank Park,9
777234,2025-07-05T20:10:00Z,2025-07-05,1,R,F,Final,118,Kansas City Royals,1,109,Arizona Diamondbacks,7,15,Chase Field,9
777237,2025-07-05T20:10:00Z,2025-07-05,1,R,F,Final,110,Baltimore Orioles,9,144,Atlanta Braves,6,4705,Truist Park,9
777241,2025-07-05T20:10:00Z,2025-07-05,1,R,F,Final,147,New York Yankees,6,121,New York Mets,12,3289,Citi Field,9
777238,2025-07-05T20:10:00Z,2025-07-05,1,R,F,Final,158,Milwaukee Brewers,2,146,Miami Marlins,4,4169,loanDepot park,9
777240,2025-07-05T23:15:00Z,2025-07-05,1,R,F,Final,116,Detroit Tigers,1,114,Cleveland Guardians,0,5,Progressive Field,9
777221,2025-07-05T23:15:00Z,2025-07-05,1,R,F,Final,117,Houston Astros,6,119,Los Angeles Dodgers,4,22,Dodger Stadium,9
777232,2025-07-06T01:10:00Z,2025-07-05,1,R,F,Final,145,Chicago White Sox,10,115,Colorado Rockies,3,19,Coors Field,9
777223,2025-07-06T01:40:00Z,2025-07-05,1,R,F,Final,140,Texas Rangers,7,135,San Diego Padres,4,2680,Petco Park,9
777227,2025-07-06T02:05:00Z,2025-07-05,1,R,F,Final,137,San Francisco Giants,7,133,Athletics,2,2529,Sutter Health Park,9
777225,2025-07-06T02:10:00Z,2025-07-05,1,R,F,Final,134,Pittsburgh Pirates,0,136,Seattle Mariners,1,680,T-Mobile Park,9
