gamePk,inning,half,battingteamid,runs,hits,errors,leftOnBase
777026,1,0,113,0,1,0,0
777026,1,1,120,0,1,0,0
777026,2,0,113,0,0,0,0
777026,2,1,120,0,1,0,1
777026,3,0,113,0,0,0,2
777026,3,1,120,0,0,0,0
777026,4,0,113,1,1,0,2
777026,4,1,120,0,1,0,1
777026,5,0,113,0,0,0,0
777026,5,1,120,0,0,0,0
777026,6,0,113,0,0,0,2
777026,6,1,120,0,0,0,0
777026,7,0,113,0,1,0,1
777026,7,1,120,0,0,0,0
777026,8,0,113,2,3,1,1
777026,8,1,120,0,1,0,1
777026,9,0,113,2,2,0,0
777026,9,1,120,0,0,1,0
777037,1,0,135,0,0,0,0
777037,1,1,146,1,1,0,2
777037,2,0,135,0,0,0,0
777037,2,1,146,0,0,0,0
777037,3,0,135,0,0,0,0
777037,3,1,146,0,0,0,1
777037,4,0,135,1,2,0,0
777037,4,1,146,0,1,1,1
777037,5,0,135,0,1,1,0
777037,5,1,146,2,2,0,1
777037,6,0,135,0,0,0,0
777037,6,1,146,0,0,0,0
777037,7,0,135,0,1,0,1
777037,7,1,146,0,1,0,1
777037,8,0,135,1,3,0,2
777037,8,1,146,0,0,0,0
777037,9,0,135,0,0,0,0
777037,9,1,146,,0,0,0
777041,1,0,137,0,1,0,3
777041,1,1,144,0,0,0,3
777041,2,0,137,0,0,0,0
777041,2,1,144,0,0,0,1
777041,3,0,137,0,1,0,1
777041,3,1,144,0,0,0,0
777041,4,0,137,0,1,0,2
777041,4,1,144,0,0,0,0
777041,5,0,137,3,2,0,0
777041,5,1,144,0,1,0,2
777041,6,0,137,3,3,0,0
777041,6,1,144,0,1,0,1
777041,7,0,137,3,2,0,1
777041,7,1,144,3,4,0,1
777041,8,0,137,0,0,0,0
777041,8,1,144,0,0,0,0
777041,9,0,137,0,0,0,0
777041,9,1,144,0,1,0,1
777029,1,0,116,0,0,0,0
777029,1,1,134,1,1,0,0
777029,2,0,116,0,0,0,0
777029,2,1,134,4,2,0,0
777029,3,0,116,0,0,0,0
777029,3,1,134,1,1,0,0
777029,4,0,116,0,1,0,1
777029,4,1,134,0,1,0,1
777029,5,0,116,0,1,0,1
777029,5,1,134,0,2,0,2
777029,6,0,116,0,0,0,0
777029,6,1,134,0,0,0,0
777029,7,0,116,1,2,0,1
777029,7,1,134,0,0,0,0
777029,8,0,116,0,0,0,0
777029,8,1,134,0,1,0,1
777029,9,0,116,0,1,0,1
777029,9,1,134,,0,0,0
777034,1,0,108,0,0,0,0
777034,1,1,121,1,1,0,0
777034,2,0,108,0,1,0,3
777034,2,1,121,0,2,0,1
777034,3,0,108,1,1,0,0
777034,3,1,121,4,2,0,0
777034,4,0,108,0,0,0,0
777034,4,1,121,1,3,0,2
777034,5,0,108,0,0,0,0
777034,5,1,121,0,1,0,1
777034,6,0,108,0,0,0,1
777034,6,1,121,0,0,0,0
777034,7,0,108,2,3,0,2
777034,7,1,121,0,1,0,1
777034,8,0,108,0,0,0,2
777034,8,1,121,0,0,0,0
777034,9,0,108,0,0,0,1
777034,9,1,121,,0,0,0
777031,1,0,118,2,2,0,1
777031,1,1,112,0,1,1,1
777031,2,0,118,0,0,0,1
777031,2,1,112,1,2,1,1
777031,3,0,118,2,2,0,0
777031,3,1,112,1,1,0,1
777031,4,0,118,0,0,0,0
777031,4,1,112,0,0,0,1
777031,5,0,118,2,2,0,0
777031,5,1,112,0,0,0,0
777031,6,0,118,2,1,0,0
777031,6,1,112,0,0,0,0
777031,7,0,118,0,0,0,1
777031,7,1,112,1,2,0,0
777031,8,0,118,0,0,0,0
777031,8,1,112,1,1,0,1
777031,9,0,118,0,1,0,3
777031,9,1,112,0,0,0,0
777028,1,0,138,0,0,0,2
777028,1,1,115,0,1,0,1
777028,2,0,138,0,2,0,1
777028,2,1,115,4,5,0,1
777028,3,0,138,0,0,0,1
777028,3,1,115,0,0,0,0
777028,4,0,138,0,1,0,1
777028,4,1,115,0,0,0,0
777028,5,0,138,0,0,0,0
777028,5,1,115,1,2,0,2
777028,6,0,138,0,1,0,1
777028,6,1,115,0,1,0,0
777028,7,0,138,0,0,0,0
777028,7,1,115,0,1,0,2
777028,8,0,138,0,1,0,1
777028,8,1,115,1,2,0,1
777028,9,0,138,0,0,0,0
777028,9,1,115,,0,0,0
777032,1,0,117,0,0,0,1
777032,1,1,109,1,1,0,1
777032,2,0,117,0,1,0,1
777032,2,1,109,0,2,0,2
777032,3,0,117,0,0,0,0
777032,3,1,109,0,0,0,0
777032,4,0,117,0,1,0,2
777032,4,1,109,0,0,0,0
777032,5,0,117,0,1,0,1
777032,5,1,109,0,1,0,1
777032,6,0,117,2,2,0,1
777032,6,1,109,0,0,1,0
777032,7,0,117,0,1,0,1
777032,7,1,109,0,0,0,0
777032,8,0,117,1,2,0,1
777032,8,1,109,2,4,0,2
777032,9,0,117,1,3,0,2
777032,9,1,109,0,1,0,1
777024,1,0,158,0,1,0,1
777024,1,1,136,0,0,0,0
777024,2,0,158,2,3,0,1
777024,2,1,136,2,3,0,1
777024,3,0,158,0,0,0,0
777024,3,1,136,0,1,0,0
777024,4,0,158,3,3,0,2
777024,4,1,136,0,0,1,0
777024,5,0,158,1,3,0,1
777024,5,1,136,0,0,0,0
777024,6,0,158,1,3,0,2
777024,6,1,136,0,1,0,1
777024,7,0,158,3,4,0,1
777024,7,1,136,0,1,0,2
777024,8,0,158,0,0,0,0
777024,8,1,136,0,0,0,0
777024,9,0,158,0,0,0,2
777024,9,1,136,0,1,0,1
777022,1,0,142,0,0,0,1
777022,1,1,119,1,2,0,1
777022,2,0,142,0,0,0,0
777022,2,1,119,0,0,0,0
777022,3,0,142,1,2,0,1
777022,3,1,119,0,0,0,0
777022,4,0,142,0,0,0,0
777022,4,1,119,0,1,0,0
777022,5,0,142,0,1,0,1
777022,5,1,119,0,1,0,1
777022,6,0,142,0,0,0,0
777022,6,1,119,0,0,0,0
777022,7,0,142,0,0,0,0
777022,7,1,119,1,2,0,3
777022,8,0,142,2,1,0,1
777022,8,1,119,0,1,0,3
777022,9,0,142,0,1,0,1
777022,9,1,119,2,2,0,2
777036,1,0,110,0,0,0,0
777036,1,1,114,0,0,0,0
777036,2,0,110,0,1,0,0
777036,2,1,114,0,0,0,0
777036,3,0,110,0,1,0,1
777036,3,1,114,0,0,0,0
777036,4,0,110,1,2,0,1
777036,4,1,114,2,2,0,1
777036,5,0,110,0,0,0,0
