gamepk,inning,half,battingteamid,runs,hits,errors,leftonbase,cummulative_score,batting_team_score,batting_team_scores,score_difference
778869,1,0,112,0.0,2,0,2,0.0,0,0.0,0.0
778869,1,1,119,0.0,0,0,0,0.0,0,0.0,0.0
778869,2,0,112,0.0,1,0,1,0.0,0,0.0,0.0
778869,2,1,119,3.0,3,0,1,3.0,0,0.0,0.0
778869,3,0,112,6.0,4,0,1,6.0,0,0.0,-3.0
778869,3,1,119,0.0,1,0,0,3.0,3,3.0,-3.0
778869,4,0,112,0.0,0,0,0,6.0,6,6.0,3.0
778869,4,1,119,0.0,1,0,2,3.0,3,3.0,-3.0
778869,5,0,112,2.0,2,0,0,8.0,6,6.0,3.0
778869,5,1,119,0.0,0,1,1,3.0,3,3.0,-5.0
778869,6,0,112,0.0,1,0,1,8.0,8,8.0,5.0
778869,6,1,119,0.0,0,0,0,3.0,3,3.0,-5.0
778869,7,0,112,1.0,2,0,0,9.0,8,8.0,5.0
778869,7,1,119,0.0,0,0,1,3.0,3,3.0,-6.0
778869,8,0,112,3.0,2,0,0,12.0,9,9.0,6.0
778869,8,1,119,1.0,1,0,2,4.0,3,3.0,-9.0
778869,9,0,112,0.0,1,0,3,12.0,12,12.0,8.0
778869,9,1,119,0.0,1,0,0,4.0,4,4.0,-8.0
779055,1,0,139,0.0,2,1,2,0.0,0,0.0,0.0
779055,1,1,147,2.0,2,0,1,2.0,0,0.0,0.0
779055,2,0,139,0.0,0,0,0,0.0,0,0.0,-2.0
779055,2,1,147,0.0,1,0,1,2.0,2,2.0,2.0
779055,3,0,139,0.0,1,1,2,0.0,0,0.0,-2.0
779055,3,1,147,0.0,0,0,2,2.0,2,2.0,2.0
779055,4,0,139,0.0,1,0,1,0.0,0,0.0,-2.0
779055,4,1,147,2.0,1,0,2,4.0,2,2.0,2.0
779055,5,0,139,0.0,1,0,1,0.0,0,0.0,-4.0
779055,5,1,147,0.0,1,0,1,4.0,4,4.0,4.0
779055,6,0,139,0.0,0,0,0,0.0,0,0.0,-4.0
779055,6,1,147,0.0,1,0,1,4.0,4,4.0,4.0
779055,7,0,139,0.0,1,1,2,0.0,0,0.0,-4.0
779055,7,1,147,0.0,1,0,2,4.0,4,4.0,4.0
779055,8,0,139,0.0,0,0,0,0.0,0,0.0,-4.0
779055,8,1,147,0.0,2,0,2,4.0,4,4.0,4.0
779055,9,0,139,0.0,2,0,2,0.0,0,0.0,-4.0
779055,9,1,147,,0,0,0,,4,4.0,4.0
778780,1,0,343,0.0,0,1,0,0.0,0,0.0,0.0
778780,1,1,111,0.0,1,0,2,0.0,0,0.0,0.0
778780,2,0,343,2.0,1,0,2,2.0,0,0.0,0.0
778780,2,1,111,0.0,0,1,1,0.0,0,0.0,-2.0
778780,3,0,343,0.0,0,0,0,2.0,2,2.0,2.0
778780,3,1,111,0.0,0,0,0,0.0,0,0.0,-2.0
778780,4,0,343,0.0,0,1,0,2.0,2,2.0,2.0
778780,4,1,111,4.0,3,0,1,4.0,0,0.0,-2.0
778780,5,0,343,0.0,0,0,0,2.0,2,2.0,-2.0
778780,5,1,111,0.0,0,0,0,4.0,4,4.0,2.0
778780,6,0,343,0.0,0,0,0,2.0,2,2.0,-2.0
778780,6,1,111,1.0,1,0,1,5.0,4,4.0,2.0
778780,7,0,343,0.0,0,0,0,2.0,2,2.0,-3.0
778780,7,1,111,,0,0,0,,5,5.0,3.0
778760,1,0,119,0.0,0,0,0,0.0,0,0.0,0.0
778760,1,1,112,0.0,1,1,1,0.0,0,0.0,0.0
778760,2,0,119,0.0,3,0,3,0.0,0,0.0,0.0
778760,2,1,112,1.0,1,0,1,1.0,0,0.0,0.0
778760,3,0,119,1.0,3,0,2,1.0,0,0.0,-1.0
778760,3,1,112,3.0,3,0,0,4.0,1,1.0,0.0
778760,4,0,119,0.0,2,0,2,1.0,1,1.0,-3.0
778760,4,1,112,1.0,2,0,2,5.0,4,4.0,3.0
778760,5,0,119,0.0,2,0,2,1.0,1,1.0,-4.0
778760,5,1,112,0.0,1,0,1,5.0,5,5.0,4.0
778760,6,0,119,0.0,1,1,3,1.0,1,1.0,-4.0
778760,6,1,112,2.0,2,1,1,7.0,5,5.0,4.0
778760,7,0,119,2.0,1,0,3,3.0,1,1.0,-6.0
778760,7,1,112,0.0,0,0,0,7.0,7,7.0,4.0
778760,8,0,119,0.0,0,0,0,3.0,3,3.0,-4.0
778760,8,1,112,0.0,1,0,1,7.0,7,7.0,4.0
778760,9,0,119,0.0,1,0,0,3.0,3,3.0,-4.0
778760,9,1,112,,0,0,0,,7,7.0,4.0
778949,1,0,140,0.0,0,0,0,0.0,0,0.0,0.0
778949,1,1,118,0.0,1,0,0,0.0,0,0.0,0.0
778949,2,0,140,0.0,2,0,2,0.0,0,0.0,0.0
778949,2,1,118,2.0,1,0,1,2.0,0,0.0,0.0
778949,3,0,140,0.0,1,0,0,0.0,0,0.0,-2.0
778949,3,1,118,0.0,0,0,0,2.0,2,2.0,2.0
778949,4,0,140,0.0,0,0,0,0.0,0,0.0,-2.0
778949,4,1,118,0.0,1,0,1,2.0,2,2.0,2.0
778949,5,0,140,0.0,0,0,0,0.0,0,0.0,-2.0
778949,5,1,118,0.0,1,0,2,2.0,2,2.0,2.0
778949,6,0,140,0.0,1,0,0,0.0,0,0.0,-2.0
778949,6,1,118,0.0,0,0,1,2.0,2,2.0,2.0
778949,7,0,140,0.0,0,0,0,0.0,0,0.0,-2.0
778949,7,1,118,0.0,1,0,1,2.0,2,2.0,2.0
778949,8,0,140,2.0,3,0,0,2.0,0,0.0,-2.0
778949,8,1,118,3.0,4,0,2,5.0,2,2.0,0.0
778949,9,0,140,0.0,1,0,1,2.0,2,2.0,-3.0
778949,9,1,118,,0,0,0,,5,5.0,3.0
787940,1,0,115,0.0,0,0,0,0.0,0,0.0,0.0
787940,1,1,109,0.0,0,0,0,0.0,0,0.0,0.0
787940,2,0,115,0.0,1,0,1,0.0,0,0.0,0.0
787940,2,1,109,0.0,1,0,1,0.0,0,0.0,0.0
787940,3,0,115,0.0,0,0,3,0.0,0,0.0,0.0
787940,3,1,109,3.0,4,0,1,3.0,0,0.0,0.0
787940,4,0,115,5.0,4,0,0,5.0,0,0.0,-3.0
787940,4,1,109,0.0,0,0,1,3.0,3,3.0,-2.0
787940,5,0,115,0.0,0,0,0,5.0,5,5.0,2.0
787940,5,1,109,3.0,4,0,1,6.0,3,3.0,-2.0
787940,6,0,115,0.0,0,0,0,5.0,5,5.0,-1.0
787940,6,1,109,0.0,0,0,0,6.0,6,6.0,1.0
787940,7,0,115,1.0,2,0,1,6.0,5,5.0,-1.0
787940,7,1,109,0.0,0,0,0,6.0,6,6.0,0.0
787940,8,0,115,0.0,1,0,3,6.0,6,6.0,0.0
787940,8,1,109,0.0,0,0,0,6.0,6,6.0,0.0
787940,9,0,115,6.0,4,0,3,12.0,6,6.0,0.0
787940,9,1,109,2.0,3,0,1,8.0,6,6.0,-6.0
788017,1,0,136,0.0,0,0,0,0.0,0,0.0,0.0
788017,1,1,135,3.0,3,0,1,3.0,0,0.0,0.0
788017,2,0,136,0.0,0,0,0,0.0,0,0.0,-3.0
788017,2,1,135,0.0,0,0,0,3.0,3,3.0,3.0
788017,3,0,136,1.0,0,0,1,1.0,0,0.0,-3.0
788017,3,1,135,1.0,1,0,1,4.0,3,3.0,2.0
788017,4,0,136,0.0,0,1,0,1.0,1,1.0,-3.0
788017,4,1,135,1.0,1,0,2,5.0,4,4.0,3.0
788017,5,0,136,0.0,0,0,1,1.0,1,1.0,-4.0
788017,5,1,135,0.0,1,0,3,5.0,5,5.0,4.0
788017,6,0,136,0.0,1,0,1,1.0,1,1.0,-4.0
788017,6,1,135,0.0,2,0,2,5.0,5,5.0,4.0
